,overall,reviewText,summary,unixReviewTime,reviewerID,reviewerName
0,5,"the king, the mice and the cheese by nancy gurney is an excellent children's book.  it is one that i well remember from my own childhood and purchased for my daughter who loves it.

it is about a king who has trouble with rude mice eating his cheese. he consults his wise men and they suggest cats to chase away the mice. the cats become a nuisance, so the wise men recommend the king bring in dogs to chase the cats away.  the cycle goes on until the mice are finally brought back to chase away the elephants, brought in to chase away the lions that'd chased away the dogs.

the story ends in compromise and friendship between the mice and the king.  the story also teaches cause and effect relationships.

the pictures that accompany the story are humorous and memorable.  i was thrilled to discover that it is back in print.  i *highly* recommend it for children ages 2 to 7.",a story children will love and learn from,1112140800,A1REUF3A1YCPHM,TW Ervin II
12,3,"41 years later:

the cheese is government cheese.

the mice objected to the king's idea of good manners as species-centric, and rebelled.

the king blamed the peasants, and forbade them to keep cats or chase mice from their homes.

this made things worse. peasants that could afford to do so moved as far away from mice as possible.

i can't wait for the next chapter.","outdated, but a good 1960s primer",1158537600,A294QSAEH1Z7YI,BHGobuchul
21,2,"looking for a louis untermeyer book  from the 1980s and this was not the one,",two stars,1425168000,A3ZG0U3FOF3T1,P. Howell
23,4,its lovely just what my husband was looking for and how he had remembered it,four stars,1406160000,A3PF93B41F9IDL,Bev Weber
27,5,"i rated this a five because it's the first book i used to introduce my-now 45 year old-son to poetry.  custard the magic dragon was read over and over and he still remembers it to this day.  it's a charming mix of poetry, rhymes and stories in verse.  you'll treasure it for your children-and for yourself. if you can find a copy, get one and enjoy all it has to offer with your kids or by yourself.",never grow old,1380672000,A31QP3G4FS2A90,Jo Barnes
30,5,"this was a favorite. i think it changed my life when i was just a child. i became a poetry lover and am one still. simple, beautiful poems appropriate for children but not childish at all. whitman, hopkins, many famous poets included here. all these years later i can still remember lines from it. genevieve taggard's millions of strawberries came to me while i was eating strawberries a friend gave me. although i could not remember the title, thanks to the wonders of the internet, i searched for the lines i remember and found the text. then, i went to the bookshelf (i still have the book) and read it and many others. fond, fond memories.",changed my life,1372636800,A3QYDL5CDNYN66,Verita
39,3,"dr. seuss has some really brilliant books.  this book is just a so-so dr. seuss.  as a parent who is familiar with about 15 dr. seuss books, this is one of my least favorite books.
the book attempts to teach the child what ""up"" means.  there is a terrific amount of repetition, and the cleverness in the rhyming and pictures is not ""up!"" to par with other dr. seuss books.
my 6-month old children are too young to understand this book, but i think that mommy and daddy will tire of the book long before they have gotten the very simple and trivial message in this book : what is the difference between up and down ...",a below-average dr. seuss book,1021680000,AJ8AQG2X9JJ2Y,Donald Gillies
43,1,"completly boring!!! yes it's a childerns book that they will be able to read beacuse 60% of the book is the word up.
this one never gets picked for story time just sits on the shelf.
we love dr seuss books but this one is disappointing.",don't waste your money,1455926400,A2M08SO0PJKPAV,Emily
67,5,"""wake every person, pig, and pup, till everyone on earth is up! except for me, please go away.  no up for me, i'm sleeping in today!""  we are fifth graders and this is our favorite book by dr. seuss, great day for up.  i can just feel the breeze when i go up, up, up, and away. think of all the happiness you will miss if you sleep in ... when you can have fun, in all kinds of ways, with dr. seuss!!!

this book is fun for you and me,
wake up your mind and creativity!",creative!,1330560000,ATNLEKORO6W0T,akasnicka
74,3,"the carpet wars is a sampler of informal writing from australian journalist (and avid carpet collector) christopher kremmer over ten years in central asia.  since most of it was written, and concerns events, before 9/11, when the area was not established in the west's cultural radar as it is today, it gives a view of the region that is uncluttered by hindsight reevaluations.
kremmer writes of his time in afghanistan, pakistan, tajikstan, kashmir, and iran, giving us colorful and non-journalistic slices of life from each region.  he enlivens his writings with vivid character studies of those he met on his travels, from dignitaries like ill-fated afghan dictator mohammed najibullah and legendary guerilla ahmad shah massoud to various carpet dealers kremmer got to know over his time in the region.  between these character sketches and kremmer's anecdotes, he delivers measured doses of regional history and politics, and he imparts a surprising amount of information about his favorite hobby, the asian carpet.
the result is more than just some very entertaining travel writing.  kremmer's lively and discursive work also functions as an excellent introduction to the central asian economy and politics.  besides being for those who just like to read about travel in interesting foreign parts, the carpet wars will also be useful for non-scholars who want to have some idea how movements like the taliban came to be, but want to take a spoonful of sugar with this medicine.
(kremmer's book also taught me that i'll never know enough to bargain effectively for an asian carpet -- but his rueful and wry work also admits that there is a certain pleasure in being cheated.)",painless education,1089244800,A1JS302JFHH9DJ,Daniel H. Bigelow
